variant,accountCurrency,initialCapitalEUR,finalCapitalEUR,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,sharpe,sortino,avgTradeEUR,exposurePct,avgLeverage,maxLeverageUsed,leveragedTrades,expectancyR,avgMFER,avgMAER,medianWinnerCaptureRatio,stoppedTrades,takeProfitTrades,timeExitTrades,realizedCapitalEUR,openPositions,countertrendVetoes,avgStakeEUR,avgGrossExposureEUR
V3.3 no ML,EUR,1000.0,969.28,-3.0723,25.0,4.8583,0.5513,12,-0.6923,-0.9499,-3.52,87.37,10.5,14,12,-0.251,1.14,0.944,0.992,5,3,0,957.71,1,0,99.83,1048.75
V3.3 ML soft sizing,EUR,1000.0,972.31,-2.7691,25.0,4.6388,0.545,12,-0.652,-0.8761,-3.29,87.37,10.417,13,12,-0.251,1.14,0.944,0.992,5,3,0,960.58,1,0,93.25,961.14
