variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_ml_advisory,2020,EUR,1000.0,981.39,982.5,-1.8606,-1.7504,26.32,3.469,0.7263,19,1,-0.4793,-0.5589,-0.98,-0.096,86.26,5.42,11.0,0.552,6,5,0,0,0
v4_ml_advisory,2021,EUR,1000.0,990.66,990.66,-0.9344,-0.9344,36.36,2.2244,0.7079,11,0,-0.3592,-0.4667,-0.85,-0.099,79.31,5.91,9.0,0.594,2,1,0,0,0
v4_ml_advisory,2022,EUR,1000.0,963.0,966.93,-3.6998,-3.3075,11.76,3.7446,0.353,17,1,-1.2816,-1.393,-2.18,-0.446,78.46,3.12,7.0,0.311,7,2,0,0,0
v4_ml_advisory,2023,EUR,1000.0,997.41,1002.42,-0.2587,0.2418,36.36,2.4381,0.8999,11,1,0.0938,0.1406,-0.23,-0.016,80.77,4.91,8.0,0.485,1,1,0,0,0
v4_ml_advisory,2024,EUR,1000.0,986.82,988.3,-1.3184,-1.17,35.29,4.6383,0.7745,17,1,-0.2858,-0.388,-0.78,-0.08,83.97,7.53,12.0,0.772,3,3,0,0,0
v4_ml_advisory,2025,EUR,1000.0,985.74,990.55,-1.4264,-0.9448,38.89,2.8526,0.7121,18,1,-0.2842,-0.418,-0.79,-0.082,79.38,4.44,8.0,0.435,2,3,0,0,0
v4_ml_advisory,2026,EUR,1000.0,982.47,985.25,-1.7529,-1.4752,38.46,2.4724,0.731,13,1,-0.4898,-0.6163,-1.35,-0.087,80.95,7.85,11.0,0.822,4,4,0,0,0
