variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_risk_1.00pct,2020,EUR,1000.0,954.22,955.47,-4.5779,-4.4526,26.32,7.1851,0.6211,19,1,-0.8541,-1.0095,-2.41,-0.208,82.44,7.58,15.0,0.777,8,5,0,0,0
v4_risk_1.00pct,2021,EUR,1000.0,969.64,973.87,-3.0359,-2.6128,20.0,5.4138,0.4904,10,1,-0.5265,-0.7374,-3.04,-0.249,90.42,10.7,17.0,0.991,3,2,0,0,0
v4_risk_1.00pct,2022,EUR,1000.0,987.17,986.28,-1.2826,-1.3721,33.33,3.5307,0.8344,15,1,-0.2997,-0.3858,-0.86,-0.14,85.0,4.93,9.0,0.49,8,4,0,0,0
v4_risk_1.00pct,2023,EUR,1000.0,999.21,995.08,-0.0786,-0.4923,36.36,3.3645,0.9826,11,1,-0.0943,-0.1312,-0.07,0.027,87.69,6.55,10.0,0.646,3,2,0,0,0
v4_risk_1.00pct,2024,EUR,1000.0,985.01,987.19,-1.4986,-1.2814,40.0,6.6433,0.83,15,1,-0.2082,-0.28,-1.0,-0.055,88.17,9.93,16.0,1.042,4,4,0,0,0
v4_risk_1.00pct,2025,EUR,1000.0,967.02,973.22,-3.2984,-2.678,33.33,4.9576,0.6049,18,1,-0.5979,-0.8684,-1.83,-0.203,83.27,6.06,10.0,0.585,4,3,0,0,0
v4_risk_1.00pct,2026,EUR,1000.0,1001.25,1004.67,0.125,0.4673,44.44,2.2605,1.0356,9,1,0.1596,0.2115,0.14,0.069,91.01,9.11,15.0,0.916,0,2,0,0,0
