variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_financing_8pct,2020,EUR,1000.0,955.49,955.91,-4.4508,-4.4089,26.32,6.0697,0.5479,19,1,-1.1276,-1.3262,-2.34,-0.29,82.44,5.68,11.0,0.583,8,5,0,0,0
v4_financing_8pct,2021,EUR,1000.0,963.33,964.38,-3.6673,-3.5616,20.0,5.1103,0.3195,10,1,-1.0273,-1.423,-3.67,-0.448,90.42,7.7,13.0,0.712,3,2,0,0,0
v4_financing_8pct,2022,EUR,1000.0,983.29,982.57,-1.6712,-1.743,33.33,2.7789,0.7203,15,1,-0.5339,-0.6811,-1.11,-0.202,85.0,3.67,7.0,0.361,8,4,0,0,0
v4_financing_8pct,2023,EUR,1000.0,988.49,985.23,-1.1515,-1.4773,36.36,2.9655,0.7133,11,1,-0.4463,-0.6147,-1.05,-0.106,87.69,4.91,8.0,0.485,3,2,0,0,0
v4_financing_8pct,2024,EUR,1000.0,973.83,974.41,-2.6172,-2.5589,40.0,5.7539,0.6485,15,1,-0.6044,-0.8026,-1.75,-0.184,88.17,7.53,12.0,0.793,4,4,0,0,0
v4_financing_8pct,2025,EUR,1000.0,968.75,970.33,-3.1253,-2.9673,33.33,4.148,0.5448,18,1,-0.8771,-1.3078,-1.74,-0.264,83.27,4.56,7.0,0.441,4,3,0,0,0
v4_financing_8pct,2026,EUR,1000.0,989.67,991.53,-1.0332,-0.8475,22.22,2.3805,0.699,9,1,-0.3265,-0.4223,-1.15,-0.082,91.01,6.67,11.0,0.673,0,2,0,0,0
