variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_cp5_rr1.5,2020,EUR,1000.0,997.34,1005.68,-0.2661,0.5679,38.1,4.3306,0.9683,21,1,0.1555,0.1894,-0.13,-0.019,82.44,6.43,12.0,0.677,8,8,0,0,0
v4_cp5_rr1.5,2021,EUR,1000.0,968.55,971.72,-3.1449,-2.828,33.33,4.5568,0.5996,15,1,-0.7593,-0.8978,-2.1,-0.187,83.14,8.4,13.0,0.843,6,5,0,0,0
v4_cp5_rr1.5,2022,EUR,1000.0,981.33,984.21,-1.8672,-1.5786,31.58,2.683,0.754,19,1,-0.4864,-0.6031,-0.98,-0.199,86.54,3.53,7.0,0.355,10,6,0,0,0
v4_cp5_rr1.5,2023,EUR,1000.0,985.68,988.03,-1.4318,-1.1966,33.33,3.2105,0.6694,12,1,-0.3377,-0.4361,-1.19,-0.095,87.69,5.25,9.0,0.533,4,2,0,0,0
v4_cp5_rr1.5,2024,EUR,1000.0,954.48,955.92,-4.5521,-4.4085,31.25,5.6291,0.4833,16,1,-1.1654,-1.3087,-2.84,-0.284,86.64,7.38,12.0,0.777,6,4,0,0,0
v4_cp5_rr1.5,2025,EUR,1000.0,981.47,980.37,-1.8528,-1.9626,36.84,3.6665,0.708,19,1,-0.6124,-0.8571,-0.97,-0.164,82.88,4.95,12.0,0.481,4,4,0,0,0
v4_cp5_rr1.5,2026,EUR,1000.0,971.2,973.75,-2.88,-2.6247,38.46,4.0211,0.5736,13,1,-0.8754,-1.0421,-2.22,-0.127,90.48,8.23,13.0,0.879,3,4,0,0,0
