variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_cp5_rr2.0,2020,EUR,1000.0,972.6,972.6,-2.7396,-2.7396,26.32,5.5885,0.7017,19,0,-0.6286,-0.7097,-1.44,-0.162,80.92,6.0,12.0,0.624,8,5,0,0,0
v4_cp5_rr2.0,2021,EUR,1000.0,976.81,980.0,-2.3193,-1.9997,20.0,4.2074,0.5114,10,1,-0.5535,-0.7622,-2.32,-0.256,89.66,8.1,13.0,0.759,4,2,0,0,0
v4_cp5_rr2.0,2022,EUR,1000.0,988.57,988.83,-1.1434,-1.1167,28.57,2.683,0.7649,14,1,-0.3527,-0.458,-0.82,-0.167,86.54,3.57,7.0,0.347,7,3,0,0,0
v4_cp5_rr2.0,2023,EUR,1000.0,1003.07,1003.02,0.3065,0.3016,36.36,2.3534,1.0943,11,1,0.1141,0.1648,0.28,0.081,84.62,4.82,8.0,0.476,3,2,0,0,0
v4_cp5_rr2.0,2024,EUR,1000.0,982.48,983.96,-1.752,-1.6042,33.33,4.9161,0.64,12,1,-0.4291,-0.5331,-1.46,-0.126,88.55,6.83,12.0,0.692,2,2,0,0,0
v4_cp5_rr2.0,2025,EUR,1000.0,965.4,970.12,-3.46,-2.9884,29.41,4.2097,0.4543,17,1,-1.0045,-1.362,-2.04,-0.289,79.38,4.76,7.0,0.461,5,2,0,0,0
v4_cp5_rr2.0,2026,EUR,1000.0,978.38,980.96,-2.1616,-1.9044,14.29,3.5409,0.0159,7,1,-0.7522,-0.9108,-3.09,-0.393,88.89,6.71,11.0,0.646,2,0,0,0,0
