featureSet,model,folds,testEvents,meanAUC,medianAUC,meanBrier,baselineBrier,brierSkill,score
aligned_core,logistic,4,607,0.5489878282691375,0.5099578736675511,0.22239642130524817,0.21723489025474196,-0.023760138366601735,0.5430477936774871
raw_full,logistic,4,607,0.5567972007962521,0.5548875855327469,0.23210701973456127,0.21723489025474196,-0.06846105366582411,0.5396819373797961
aligned_full,logistic,4,607,0.5355275614644684,0.5056160685192943,0.22507052309477654,0.21723489025474196,-0.036069863505103106,0.5265100955881927
aligned_core,random_forest,4,607,0.47166095421550835,0.4894183773216032,0.24668573660842524,0.21723489025474196,-0.1355714375308108,0.43776809483280565
aligned_full,random_forest,4,607,0.45180055159893867,0.4570823441791183,0.24172169202775856,0.21723489025474196,-0.11272039102145137,0.42362045384357583
aligned_full,hist_gradient_boosting,4,607,0.45895634646820604,0.4682391138273491,0.28632615439423537,0.21723489025474196,-0.31804865258280124,0.37944418332250573
raw_full,random_forest,4,607,0.4057360334162991,0.40606060606060607,0.2490860357972429,0.21723489025474196,-0.1466207638430017,0.3690808424555487
raw_full,hist_gradient_boosting,4,607,0.4233509532845396,0.40311583577712606,0.2913836327079731,0.21723489025474196,-0.34132980372664856,0.33801850235287745
aligned_core,hist_gradient_boosting,4,607,0.4190839165578254,0.4213458110516934,0.30371108625615273,0.21723489025474196,-0.3980769198723275,0.3195646865897435
