variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_risk_0.50pct,2020,EUR,1000.0,978.59,979.31,-2.1413,-2.0686,26.32,3.3912,0.6267,19,1,-0.8255,-0.9556,-1.13,-0.189,82.44,3.58,7.0,0.368,8,5,0,0,0
v4_risk_0.50pct,2021,EUR,1000.0,988.0,990.15,-1.2001,-0.9846,20.0,2.4087,0.5593,10,1,-0.4298,-0.6031,-1.2,-0.219,90.42,5.1,8.0,0.472,3,2,0,0,0
v4_risk_0.50pct,2022,EUR,1000.0,995.12,994.94,-0.488,-0.5056,33.33,1.7765,0.8606,15,1,-0.2392,-0.3023,-0.33,-0.108,85.0,2.27,4.0,0.225,8,4,0,0,0
v4_risk_0.50pct,2023,EUR,1000.0,998.85,997.01,-0.1155,-0.2986,36.36,1.6055,0.9453,11,1,-0.1332,-0.1806,-0.11,0.062,87.69,3.18,5.0,0.314,3,2,0,0,0
v4_risk_0.50pct,2024,EUR,1000.0,992.36,993.51,-0.7637,-0.6492,40.0,3.0816,0.828,15,1,-0.2289,-0.296,-0.51,-0.033,88.17,4.87,8.0,0.514,4,4,0,0,0
v4_risk_0.50pct,2025,EUR,1000.0,983.99,987.3,-1.6006,-1.2704,33.33,2.3561,0.5696,18,1,-0.6506,-0.9237,-0.89,-0.181,83.27,2.72,5.0,0.262,4,3,0,0,0
v4_risk_0.50pct,2026,EUR,1000.0,1001.57,1003.42,0.1574,0.3416,44.44,0.9535,1.1018,9,1,0.2252,0.2997,0.18,0.1,91.01,4.33,7.0,0.437,0,2,0,0,0
