variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_lev_cap_10x,2020,EUR,1000.0,968.78,969.87,-3.1219,-3.0132,26.32,5.1954,0.6543,19,1,-0.7525,-0.8891,-1.64,-0.202,82.44,5.58,10.0,0.593,8,5,0,0,0
v4_lev_cap_10x,2021,EUR,1000.0,978.7,981.9,-2.1298,-1.8097,20.0,3.9304,0.5033,10,1,-0.5093,-0.7061,-2.13,-0.238,90.42,7.2,10.0,0.721,3,2,0,0,0
v4_lev_cap_10x,2022,EUR,1000.0,990.07,989.53,-0.9931,-1.0468,33.33,2.683,0.826,15,1,-0.3134,-0.4014,-0.66,-0.133,85.0,3.67,7.0,0.361,8,4,0,0,0
v4_lev_cap_10x,2023,EUR,1000.0,999.65,996.43,-0.0349,-0.3565,36.36,2.3534,0.9898,11,1,-0.0956,-0.1325,-0.03,0.038,87.69,4.91,8.0,0.485,3,2,0,0,0
v4_lev_cap_10x,2024,EUR,1000.0,989.04,990.53,-1.096,-0.9472,40.0,4.9597,0.8395,15,1,-0.2069,-0.2753,-0.73,-0.048,88.17,7.13,10.0,0.803,4,4,0,0,0
v4_lev_cap_10x,2025,EUR,1000.0,976.95,981.86,-2.3053,-1.8135,33.33,3.6492,0.6376,18,1,-0.5258,-0.7876,-1.28,-0.198,83.27,4.56,7.0,0.441,4,3,0,0,0
v4_lev_cap_10x,2026,EUR,1000.0,1000.78,1003.63,0.0784,0.3628,44.44,1.5699,1.0306,9,1,0.1614,0.2115,0.09,0.08,91.01,6.56,10.0,0.678,0,2,0,0,0
