variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_rr2.0,2020,EUR,1000.0,989.68,989.68,-1.0322,-1.0322,26.32,4.1477,0.8637,19,0,-0.2372,-0.2651,-0.54,-0.072,84.35,5.95,12.0,0.617,7,5,0,0,0
v4_rr2.0,2021,EUR,1000.0,985.82,985.82,-1.4179,-1.4179,36.36,2.7088,0.6467,11,0,-0.4688,-0.6006,-1.29,-0.129,77.78,7.09,11.0,0.723,3,1,0,0,0
v4_rr2.0,2022,EUR,1000.0,960.4,964.31,-3.9605,-3.5692,11.76,4.0052,0.3969,17,1,-1.2094,-1.3933,-2.33,-0.426,78.46,3.53,7.0,0.351,7,2,0,0,0
v4_rr2.0,2023,EUR,1000.0,991.71,996.68,-0.8293,-0.3316,36.36,2.4381,0.747,11,1,-0.0958,-0.1422,-0.75,-0.067,80.38,4.82,8.0,0.476,2,1,0,0,0
v4_rr2.0,2024,EUR,1000.0,982.4,983.88,-1.7601,-1.6123,33.33,4.5212,0.6388,15,1,-0.4673,-0.5741,-1.17,-0.115,83.97,7.0,11.0,0.7,2,2,0,0,0
v4_rr2.0,2025,EUR,1000.0,967.54,972.26,-3.2463,-2.7736,35.29,3.9977,0.4148,17,1,-0.9567,-1.2535,-1.91,-0.215,79.38,4.65,8.0,0.455,3,2,0,0,0
v4_rr2.0,2026,EUR,1000.0,962.63,965.16,-3.7374,-3.4843,20.0,4.4348,0.2815,10,1,-1.1927,-1.4354,-3.74,-0.427,79.89,8.1,11.0,0.832,5,1,0,0,0
