variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_atr_tighter,2020,EUR,1000.0,986.71,987.82,-1.3287,-1.2179,31.58,4.097,0.8445,19,1,-0.2765,-0.3178,-0.7,-0.091,76.34,6.11,13.0,0.626,7,6,0,0,0
v4_atr_tighter,2021,EUR,1000.0,998.21,1001.48,-0.179,0.1475,30.0,2.2583,0.9468,10,1,0.0594,0.0861,-0.18,0.014,88.89,6.9,9.0,0.663,2,3,0,0,0
v4_atr_tighter,2022,EUR,1000.0,982.38,985.27,-1.7621,-1.4732,29.41,2.9085,0.7617,17,1,-0.3806,-0.4889,-1.04,-0.206,86.15,4.0,8.0,0.398,10,5,0,0,0
v4_atr_tighter,2023,EUR,1000.0,991.88,988.23,-0.8123,-1.1772,36.36,3.2872,0.8021,11,1,-0.332,-0.436,-0.74,-0.014,87.31,5.09,9.0,0.506,4,2,0,0,0
v4_atr_tighter,2024,EUR,1000.0,960.03,961.47,-3.9973,-3.8529,33.33,5.1218,0.4969,15,1,-0.9202,-0.9476,-2.66,-0.246,88.17,8.07,13.0,0.855,5,3,0,0,0
v4_atr_tighter,2025,EUR,1000.0,988.09,986.99,-1.1907,-1.3013,36.84,3.7178,0.8123,19,1,-0.3751,-0.5546,-0.63,-0.104,83.27,5.05,13.0,0.491,4,4,0,0,0
v4_atr_tighter,2026,EUR,1000.0,999.77,1002.79,-0.0234,0.2789,44.44,1.5813,0.9906,9,1,0.1296,0.167,-0.03,0.066,91.01,6.78,12.0,0.684,0,2,0,0,0
