variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_rr1.5,2020,EUR,1000.0,978.24,986.42,-2.1758,-1.3577,31.82,4.1441,0.7706,22,1,-0.3262,-0.3707,-0.99,-0.121,75.95,6.32,12.0,0.668,9,7,0,0,0
v4_rr1.5,2021,EUR,1000.0,994.95,994.95,-0.5055,-0.5055,38.46,2.6466,0.8804,13,0,-0.1447,-0.1854,-0.39,-0.013,77.78,7.15,11.0,0.729,3,3,0,0,0
v4_rr1.5,2022,EUR,1000.0,957.74,957.22,-4.2258,-4.2777,25.0,4.6377,0.4531,20,1,-1.3889,-1.5602,-2.11,-0.34,78.08,3.45,7.0,0.348,8,4,0,0,0
v4_rr1.5,2023,EUR,1000.0,985.65,990.59,-1.4352,-0.9405,33.33,2.6298,0.593,12,1,-0.2784,-0.3732,-1.2,-0.123,80.77,5.25,9.0,0.533,2,1,0,0,0
v4_rr1.5,2024,EUR,1000.0,957.79,959.23,-4.2213,-4.0772,26.32,5.3021,0.4904,19,1,-1.2045,-1.3027,-2.22,-0.23,81.3,7.42,11.0,0.77,5,4,0,0,0
v4_rr1.5,2025,EUR,1000.0,992.64,991.53,-0.7362,-0.8474,42.11,2.7317,0.8478,19,1,-0.2743,-0.3782,-0.39,-0.053,78.99,4.84,12.0,0.476,2,4,0,0,0
v4_rr1.5,2026,EUR,1000.0,979.9,982.47,-2.0103,-1.7527,38.46,2.4994,0.6683,13,1,-0.6118,-0.7543,-1.55,-0.083,81.48,8.23,13.0,0.865,3,4,0,0,0
