variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_lev_cap_5x,2020,EUR,1000.0,985.5,986.63,-1.4501,-1.3371,26.32,3.6634,0.8028,19,1,-0.3224,-0.389,-0.76,-0.095,86.26,4.21,5.0,0.598,6,5,0,0,0
v4_lev_cap_5x,2021,EUR,1000.0,990.19,990.19,-0.9814,-0.9814,45.45,2.7376,0.7358,11,0,-0.2946,-0.3997,-0.89,-0.097,79.31,4.91,5.0,0.728,2,1,0,0,0
v4_lev_cap_5x,2022,EUR,1000.0,955.87,959.77,-4.4128,-4.0234,11.76,4.4573,0.345,17,1,-1.3162,-1.4658,-2.6,-0.452,78.46,3.35,5.0,0.362,7,2,0,0,0
v4_lev_cap_5x,2023,EUR,1000.0,999.35,1005.02,-0.0649,0.502,36.36,2.4551,0.9756,11,1,0.1738,0.2637,-0.06,-0.014,80.77,4.45,5.0,0.501,1,1,0,0,0
v4_lev_cap_5x,2024,EUR,1000.0,984.6,986.08,-1.5403,-1.3922,35.29,4.7214,0.75,17,1,-0.3334,-0.4421,-0.91,-0.074,83.97,5.0,5.0,0.81,3,3,0,0,0
v4_lev_cap_5x,2025,EUR,1000.0,984.99,990.31,-1.5006,-0.9692,38.89,2.8735,0.7031,18,1,-0.2803,-0.3996,-0.83,-0.08,79.38,4.06,5.0,0.452,2,3,0,0,0
v4_lev_cap_5x,2026,EUR,1000.0,979.42,981.67,-2.0578,-1.8331,38.46,2.7591,0.7179,13,1,-0.5538,-0.699,-1.58,-0.077,80.95,4.92,5.0,0.908,4,4,0,0,0
