variant,year,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_rr1.2,2020,EUR,1000.0,1011.19,1015.76,1.1193,1.5761,43.48,3.8583,1.1467,23,1,0.4269,0.5358,0.49,0.024,82.82,6.17,11.0,0.648,7,10,0,0,0
v4_rr1.2,2021,EUR,1000.0,986.2,986.2,-1.3798,-1.3798,33.33,2.8674,0.7812,18,0,-0.4073,-0.5236,-0.77,-0.073,79.31,6.89,11.0,0.713,4,6,0,0,0
v4_rr1.2,2022,EUR,1000.0,952.39,954.29,-4.7612,-4.5711,27.27,5.1009,0.4373,22,1,-1.4996,-1.6276,-2.17,-0.344,78.08,3.45,7.0,0.354,9,5,0,0,0
v4_rr1.2,2023,EUR,1000.0,1001.68,1001.63,0.1679,0.1631,47.06,2.6428,1.0313,17,1,0.0665,0.0769,0.1,0.089,73.85,5.18,8.0,0.547,5,7,0,0,0
v4_rr1.2,2024,EUR,1000.0,955.99,957.02,-4.4012,-4.2979,27.78,5.2239,0.427,18,1,-1.2208,-1.4227,-2.45,-0.26,83.21,7.17,11.0,0.737,4,4,0,0,0
v4_rr1.2,2025,EUR,1000.0,987.88,986.38,-1.2124,-1.3621,47.37,2.8128,0.7363,19,1,-0.4733,-0.6227,-0.64,-0.092,78.99,4.84,12.0,0.473,2,4,0,0,0
v4_rr1.2,2026,EUR,1000.0,981.82,981.82,-1.8183,-1.8183,40.0,3.3035,0.6979,15,0,-0.6038,-0.7443,-1.21,-0.083,82.01,8.47,13.0,0.904,5,5,0,0,0
