start_idx,trim_end_days,obs,momentum_return,momentum_sharpe,momentum_trades,momentum_win,baseline_return,baseline_sharpe,baseline_trades,delta_return
40,0,90,1.9893582839965118,3.0145131442491695,6,83.33333333333334,-0.9721970291138637,-1.0434705197886098,9,2.9615553131103756
40,5,85,1.3269967651366565,2.2845751314378773,5,80.0,0.383726249694738,0.5098909903788491,8,0.9432705154419185
40,10,80,1.3269967651366565,2.426300648454499,5,80.0,-0.3964974937439747,-0.5389139264372451,7,1.7234942588806312
40,15,75,1.1424965476989124,2.367647266985031,5,80.0,0.07285437774651182,0.13687305295177,6,1.0696421699524006
45,0,90,1.9893582839965118,3.183960913690049,6,83.33333333333334,-0.5234564437867073,-0.5889576451978347,8,2.512814727783219
45,5,85,1.3269967651366565,2.426300648454499,5,80.0,0.8324668350218944,1.1669637414142178,7,0.4945299301147621
45,10,80,1.3269967651366565,2.598163500959922,5,80.0,0.052243091583181744,0.10382875072583261,6,1.2747536735534748
45,15,75,1.1424965476989124,2.5621052582958797,5,80.0,0.5215949630736683,0.9232404119415507,5,0.6209015846252441
50,0,90,1.9893582839965118,3.385623689232971,6,83.33333333333334,-1.4195516166687794,-1.9390604326186234,7,3.408909900665291
50,5,85,1.3269967651366565,2.598163500959922,5,80.0,-0.06362833786017763,-0.08437532038596406,6,1.3906251029968342
50,10,80,1.3269967651366565,2.8126229452433886,5,80.0,-0.8438520812988792,-1.6061995606779371,5,2.1708488464355358
50,15,75,1.1424965476989124,2.813985451733497,5,80.0,-0.3745002098083927,-0.8033937338609762,4,1.5169967575073051
55,0,90,1.670832118987975,3.4469739005562867,5,80.0,-1.490457302093584,-2.317083773368925,7,3.161289421081559
55,5,85,1.0084706001281196,2.4747958077222996,4,75.0,-0.13453402328498232,-0.23985063231147977,6,1.143004623413102
55,10,80,1.0084706001281196,2.7176159245936704,4,75.0,-0.9147577667236839,-2.096404389466535,5,1.9232283668518035
55,15,75,0.8239703826903755,2.69204531306187,4,75.0,-0.4454058952331974,-1.1903816783983268,4,1.2693762779235729
60,0,90,1.9583182983397895,4.407566813830503,4,75.0,-1.384098773956377,-2.3788762030745043,7,3.3424170722961666
60,5,85,1.2959567794799565,3.5041127848974836,3,66.66666666666666,-0.028175495147775287,-0.03891363771500373,6,1.3241322746277318
60,10,80,1.2959567794799565,3.9417989833360836,3,66.66666666666666,-0.8083992385864769,-2.147498851381619,5,2.1043560180664334
60,15,75,1.1114565620422123,4.248332195200816,3,66.66666666666666,-0.33904736709599037,-1.0850075178748224,4,1.4505039291382027
