model,return_pct,final_capital,trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe,avg_pnl,exposure_pct,hold,sl_mult,tp_mult
momentum,1.9893582839965118,10198.935828399652,6,83.33333333333334,7.1644904783552805,0.3746400909423908,3.385623689232971,33.155971399942224,75.0,5,1.5,2.2
momentum,1.9893582839965118,10198.935828399652,6,83.33333333333334,7.1644904783552805,0.3746400909423908,3.385623689232971,33.155971399942224,75.0,5,1.8,2.8
momentum_simple,1.6470358314513378,10164.703583145134,7,71.42857142857143,3.4766153488379534,0.5226800348372085,2.738206666812311,23.529083306447994,85.0,5,1.5,2.2
score,1.2959567794799565,10129.595677947995,3,66.66666666666666,5.0158242442958985,0.36198204576662896,2.745277032690647,43.198559315998544,42.5,5,1.5,2.2
score,1.2959567794799565,10129.595677947995,3,66.66666666666666,5.0158242442958985,0.36198204576662896,2.745277032690647,43.198559315998544,42.5,5,1.8,2.8
momentum_simple,1.1931345405577831,10119.313454055778,7,71.42857142857143,2.0663114377795524,0.9700049551496059,1.898720367526479,17.044779150825782,87.5,5,1.8,2.8
momentum,0.9553281555175541,10095.532815551755,3,66.66666666666666,1.9584013911919587,1.0284126719171893,1.5732529022430648,31.84427185058513,62.5,20,1.5,2.2
momentum,0.9553281555175541,10095.532815551755,3,66.66666666666666,1.9584013911919587,1.0284126719171893,1.5732529022430648,31.84427185058513,62.5,20,1.8,2.8
momentum,0.8941250495910102,10089.412504959102,4,50.0,1.781199297473074,1.0290344534739093,1.4734116773829455,22.353126239775804,62.5,8,1.5,2.2
momentum,0.8941250495910102,10089.412504959102,4,50.0,1.781199297473074,1.0290344534739093,1.4734116773829455,22.353126239775804,62.5,8,1.8,2.8
momentum_simple,0.8699960327147815,10086.999603271479,5,40.0,1.7444240773057291,1.0934623227511375,1.3483085556756669,17.399920654296068,85.0,8,1.5,2.2
momentum_simple,0.8699960327147815,10086.999603271479,5,40.0,1.7444240773057291,1.0934623227511375,1.3483085556756669,17.399920654296068,85.0,8,1.8,2.8
momentum,0.8282110633849316,10082.821106338493,7,57.14285714285714,1.5939677653040651,1.0521396951444162,1.387993314839691,11.831586619785051,62.5,5,1.2,1.8
momentum_simple,0.7311606674193394,10073.116066741934,9,55.55555555555556,1.4058364212706365,1.1480529627439284,1.152711303252953,8.12400741577068,85.0,5,1.2,1.8
momentum,0.6735868072509144,10067.358680725092,5,40.0,1.483075955307756,1.053749957234562,1.1257743152587976,13.471736145018724,62.5,12,1.2,1.8
momentum,0.6735868072509144,10067.358680725092,5,40.0,1.483075955307756,1.053749957234562,1.1257743152587976,13.471736145018724,62.5,20,1.2,1.8
momentum,0.5771096725463165,10057.710967254632,6,50.0,1.413885490899779,1.0547571727879568,0.9679810306208352,9.618494542438976,62.5,8,1.2,1.8
momentum_simple,0.5529806556700878,10055.298065567009,7,42.857142857142854,1.3898349578132274,1.1193727563965306,0.8723637941018766,7.89972365243014,85.0,8,1.2,1.8
momentum_simple,0.4772978477477485,10047.729784774776,4,50.0,1.3236304474469243,1.5003560428203278,0.7228201590960944,11.932446193694263,87.5,20,1.5,2.2
momentum_simple,0.4772978477477485,10047.729784774776,4,50.0,1.3236304474469243,1.5003560428203278,0.7228201590960944,11.932446193694263,87.5,20,1.8,2.8
score,0.3821211509704048,10038.212115097042,4,50.0,1.3747276628549667,1.005632818855362,0.7861054536296899,9.553028774260667,30.0,5,1.2,1.8
score,0.3821211509704048,10038.212115097042,4,50.0,1.3747276628549667,1.005632818855362,0.7861054536296899,9.553028774260667,30.0,8,1.2,1.8
score,0.3821211509704048,10038.212115097042,4,50.0,1.3747276628549667,1.005632818855362,0.7861054536296899,9.553028774260667,30.0,12,1.2,1.8
score,0.3821211509704048,10038.212115097042,4,50.0,1.3747276628549667,1.005632818855362,0.7861054536296899,9.553028774260667,30.0,20,1.2,1.8
