return_pct,trades,win_rate_pct,pf,maxdd,sharpe,spread,rsi_hi,rsi_lo,ma,macd,hold,slm,tpm
0.6133936614991731,7,42.857142857142854,1.4779674236530804,0.832820396501599,1.0705447502687404,0.4,52,48,sma50,True,3,1.2,1.8
1.6469382019044465,7,71.42857142857143,3.063462531248759,0.8243632555932412,2.8294264928226567,0.4,52,48,sma50,True,3,1.5,2.2
1.6469382019044465,7,71.42857142857143,3.063462531248759,0.8243632555932412,2.8294264928226567,0.4,52,48,sma50,True,3,1.8,2.8
0.8562110633851594,7,57.14285714285714,1.6193789094431663,1.0401158291431511,1.434793138884723,0.4,52,48,sma50,True,5,1.2,1.8
2.0133582839967135,6,83.33333333333334,7.317160857416154,0.3706400909423646,3.4283807835219613,0.4,52,48,sma50,True,5,1.5,2.2
2.0133582839967135,6,83.33333333333334,7.317160857416154,0.3706400909423646,3.4283807835219613,0.4,52,48,sma50,True,5,1.8,2.8
0.6011096725465181,6,50.0,1.434839806864437,1.042744301168319,1.0076749283751392,0.4,52,48,sma50,True,8,1.2,1.8
0.9101250495911595,4,50.0,1.800775655166764,1.021050852486749,1.4997350987428497,0.4,52,48,sma50,True,8,1.5,2.2
0.9101250495911595,4,50.0,1.800775655166764,1.021050852486749,1.4997350987428497,0.4,52,48,sma50,True,8,1.8,2.8
0.6935868072510898,5,40.0,1.5017373153073779,1.0417899167465605,1.1588729412009537,0.4,52,48,sma50,True,12,1.2,1.8
0.16433438110357024,3,66.66666666666666,1.1928224428312646,1.0246888877718296,0.3487299362832085,0.4,52,48,sma50,True,12,1.5,2.2
0.16433438110357024,3,66.66666666666666,1.1928224428312646,1.0246888877718296,0.3487299362832085,0.4,52,48,sma50,True,12,1.8,2.8
-0.13710788726785106,10,40.0,0.9384739866104558,1.57777076023623,-0.2000076383822396,0.4,52,48,sma50,False,3,1.2,1.8
1.326198062896955,10,70.0,1.9364312091356248,1.1394980302940505,2.0548186230011005,0.4,52,48,sma50,False,3,1.5,2.2
1.326198062896955,10,70.0,1.9364312091356248,1.1394980302940505,2.0548186230011005,0.4,52,48,sma50,False,3,1.8,2.8
0.32454849624652393,9,44.44444444444444,1.1695626480045356,1.5654658957831247,0.5372955761475058,0.4,52,48,sma50,False,5,1.2,1.8
1.2184284896852082,7,71.42857142857143,2.0940932013786555,0.9645975832646925,1.9392841144968258,0.4,52,48,sma50,False,5,1.5,2.2
1.2184284896852082,7,71.42857142857143,2.0940932013786555,0.9645975832646925,1.9392841144968258,0.4,52,48,sma50,False,5,1.8,2.8
-0.3844541854856609,8,37.5,0.8376415282118256,2.0190674707901146,-0.5675232963705669,0.4,52,48,sma50,False,8,1.2,1.8
0.37134568786634237,6,33.33333333333333,1.2216547584269972,1.553249277840718,0.5649881803759755,0.4,52,48,sma50,False,8,1.5,2.2
0.37134568786634237,6,33.33333333333333,1.2216547584269972,1.553249277840718,0.5649881803759755,0.4,52,48,sma50,False,8,1.8,2.8
-0.29197705078110037,7,28.57142857142857,0.8766954566975179,2.0172194946962207,-0.4253873416973311,0.4,52,48,sma50,False,12,1.2,1.8
-0.5306265029906387,4,50.0,0.6570448657026593,1.7162833236665342,-0.9004272610101054,0.4,52,48,sma50,False,12,1.5,2.2
-0.5306265029906387,4,50.0,0.6570448657026593,1.7162833236665342,-0.9004272610101054,0.4,52,48,sma50,False,12,1.8,2.8
1.2869554214479217,8,50.0,2.002818916717268,0.7962098549743946,2.0298098369736355,0.4,52,48,ema50,True,3,1.2,1.8
2.320499961853195,8,75.0,3.9073736461461186,0.7881244875116988,3.6561948990063637,0.4,52,48,ema50,True,3,1.5,2.2
2.320499961853195,8,75.0,3.9073736461461186,0.7881244875116988,3.6561948990063637,0.4,52,48,ema50,True,3,1.8,2.8
1.529772823333908,8,62.5,2.1066302031490234,1.0036703959347637,2.341028362037616,0.4,52,48,ema50,True,5,1.2,1.8
2.686920043945462,7,85.71428571428571,9.430544262059879,0.3706400909423646,4.213965660174935,0.4,52,48,ema50,True,5,1.5,2.2
2.686920043945462,7,85.71428571428571,9.430544262059879,0.3706400909423646,4.213965660174935,0.4,52,48,ema50,True,5,1.8,2.8
1.2746714324952668,7,57.14285714285714,1.922091100570294,1.0062067668698882,1.9419245255356996,0.4,52,48,ema50,True,8,1.2,1.8
1.5836868095399081,5,60.0,2.3934105462298594,0.9846180111149794,2.390688046919553,0.4,52,48,ema50,True,8,1.5,2.2
1.5836868095399081,5,60.0,2.3934105462298594,0.9846180111149794,2.390688046919553,0.4,52,48,ema50,True,8,1.8,2.8
1.3671485671998385,6,50.0,1.9889886090132347,1.0052858238714046,2.0812406805788255,0.4,52,48,ema50,True,12,1.2,1.8
0.8378961410523411,4,75.0,1.9831489897100305,0.9879841996135563,1.5090885803014764,0.4,52,48,ema50,True,12,1.5,2.2
0.8378961410523411,4,75.0,1.9831489897100305,0.9879841996135563,1.5090885803014764,0.4,52,48,ema50,True,12,1.8,2.8
