model,final_capital,return_pct,trades,win_rate_pct,profit_factor,max_drawdown_pct,avg_pnl,sharpe,sortino,avg_win,avg_loss,exposure_pct
Original exact (90d),9818.435907363892,-1.815640926361084,5,20.0,0.43413534058062553,1.8606901168823242,-36.31281852722168,,,,,
Original corrected: next-bar + 0.8 pip,9858.044838333122,-1.4195516166687794,7,28.57142857142857,0.5340959584047422,1.7718371891047968,-20.27930880955368,-1.9390604326186234,-2.228994733614311,81.36619491577068,-60.937510299683424,92.5
"Hybrid regime, fixed 10k",9786.655585861203,-2.1334441413879746,3,0.0,0.0,2.1334441413879746,-71.11480471293213,-4.543158610357176,-2.8103699050500985,0.0,-71.11480471293213,32.5
Hybrid regime + 0.5% risk sizing,9705.928050019487,-2.9407194998051223,3,0.0,0.0,2.9407194998051223,-98.0239833268373,-4.51631119849743,-2.733092856562984,0.0,-98.0239833268373,32.5
