sizing,risk_pct,return_pct,max_drawdown_pct,trades,win_rate_pct,profit_factor,sharpe,exposure_pct
fixed_10k,,1.9893582839965118,0.3746400909423908,6,83.33333333333334,7.1644904783552805,3.385623689232971,75.0
risk_0.25pct,0.25,1.4297904585855337,0.23518637453788793,6,83.33333333333334,7.907743382588476,3.500130947837149,75.0
risk_0.50pct,0.5,2.871436574339503,0.47024854227675217,6,83.33333333333334,7.868475530292721,3.5033255794471754,75.0
risk_0.75pct,0.75,4.32495889212674,0.7051865032165483,6,83.33333333333334,7.829714622713824,3.5065170891906248,75.0
risk_1.00pct,1.0,5.790377402900226,0.9400002573572874,6,83.33333333333334,7.79144977448135,3.5097055390476415,75.0
risk_1.50pct,1.5,8.756980168662597,1.4092551452415947,6,83.33333333333334,7.716366197361744,3.516073505443419,75.0
risk_2.00pct,2.0,9.867104413100414,1.7655280059828526,6,83.33333333333334,7.115104724252966,3.4270836465832284,75.0
